LSOA Code,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person
E01000861,1.0169888693614528,1.0181605155243116,1.0181605155243116,1.0035149384885764,1.0017574692442883,1.0210896309314588,1.012888107791447,1.0972466315172817,1.0263620386643233,1.083186877562976
E01000862,1.0140491721023583,1.0130456598093327,1.0301053687907678,1.0015052684395385,1.0020070245860513,1.0130456598093327,1.0095333667837432,1.0802809834420473,1.0250878073256398,1.041645760160562
E01000863,1.0284573140289566,1.037943085371942,1.089865202196705,1.0074887668497254,1.0064902646030953,1.0883674488267598,1.0464303544682976,1.420868696954568,1.0219670494258613,1.2306540189715427
E01000864,1.0087855297157622,1.0077519379844961,1.0067183462532299,1.0031007751937984,0.0,1.007235142118863,1.001033591731266,1.027906976744186,1.0191214470284238,1.0258397932816536
E01000865,1.008611955420466,1.006079027355623,1.0131712259371835,1.0015197568389058,1.0,1.0045592705167172,1.0065856129685917,1.065856129685917,1.0187436676798378,1.0339412360688955
E01000866,1.0112975008558713,1.0116398493666552,1.0061622731941116,1.001027045532352,1.000684697021568,1.0071893187264636,1.00171174255392,1.0239643957548785,1.016432728517631,1.0243067442656624
E01000867,1.008490566037736,1.0183962264150943,1.009433962264151,1.0014150943396227,1.0009433962264151,1.0056603773584907,1.0028301886792452,1.0245283018867926,1.0169811320754718,1.036320754716981
E01000868,1.0076647930505875,1.0097087378640777,1.005109862033725,1.0015329586101176,1.001021972406745,1.0045988758303526,1.0020439448134901,1.0178845171180377,1.0056208482370976,1.0429228410832907
E01000869,1.0117934119560796,1.014233428222855,1.0073200488003253,1.002440016266775,1.0,1.0089467263115088,1.0048800325335503,1.0231801545343635,1.0154534363562424,1.0361935746238309
E01000870,1.0180598555211557,1.0103199174406605,1.0082559339525283,1.001547987616099,1.000515995872033,1.0139318885448916,1.002579979360165,1.0392156862745099,1.0118679050567596,1.0314757481940144
E01000871,1.003228782287823,1.0106088560885609,1.003690036900369,1.0009225092250922,1.0009225092250922,1.0055350553505535,1.0004612546125462,1.0193726937269372,1.029520295202952,1.0226014760147601
E01000872,1.0107158165452208,1.0132876125160737,1.0085726532361765,1.0004286326618088,0.0,1.012430347192456,1.0038576939562796,1.0257179597085297,1.0312901843120446,1.0514359194170595
E01000873,1.0074850299401197,1.0079840319361277,1.0029940119760479,1.001497005988024,0.0,1.0044910179640718,1.0009980039920159,1.0114770459081837,1.031437125748503,1.0224550898203593
E01000874,1.001996007984032,1.0069860279441119,1.0009980039920159,1.001497005988024,0.0,1.001996007984032,1.0009980039920159,1.0069860279441119,1.0089820359281436,1.0089820359281436
E01000875,1.010600706713781,1.006057546693589,1.0085815244825846,1.0,1.000504795557799,1.0045431600201917,0.0,1.012115093387178,1.0343260979303381,1.0363452801615345
E01000876,1.0124090714591356,1.0055626872058194,1.0102695763799743,1.0012836970474968,1.0004278990158322,1.011553273427471,1.0012836970474968,1.0119811724433034,1.016260162601626,1.0252460419341036
E01000877,1.009,1.008,0.0,1.001,0.0,1.0055,1.0035,1.009,1.019,1.024
E01000878,1.0014836795252227,1.0077893175074184,1.0007418397626113,0.0,0.0,1.0011127596439169,1.0018545994065282,1.0055637982195846,1.0107566765578635,1.0122403560830862
E01000879,1.0045121263395376,1.0124083474337282,1.0016920473773265,1.0011280315848843,0.0,1.006204173716864,1.003384094754653,1.0186125211505923,1.0197405527354766,1.0157924421883813
E01000880,1.0062350119904078,1.0052757793764988,1.0004796163069545,1.0019184652278177,0.0,1.000959232613909,1.0014388489208632,1.0071942446043165,1.018705035971223,1.0115107913669066
E01000881,1.008028545941124,1.0098126672613739,1.003122212310437,1.0008920606601248,1.0004460303300624,1.004014272970562,1.0026761819803747,1.0124888492417485,1.016057091882248,1.020963425512935
E01000882,1.0062560153994224,1.0081809432146294,0.0,1.0004812319538017,0.0,1.0038498556304138,1.0009624639076036,1.016361886429259,1.021655437921078,1.0115495668912415
E01000883,1.008504252126063,1.0125062531265632,1.0020010005002502,1.0020010005002502,0.0,1.0060030015007504,1.0060030015007504,1.0425212606303151,1.0130065032516258,1.0250125062531266
E01000884,1.0046343975283214,1.009783728115345,1.0010298661174046,0.0,1.0,1.0030895983522141,1.0010298661174046,1.0077239958805355,1.0200823892893924,1.0102986611740474
E01000885,1.0054112554112553,1.0075757575757576,1.001082251082251,0.0,0.0,1.001082251082251,1.0005411255411256,1.0054112554112553,1.0194805194805194,1.0119047619047619
E01000886,1.0055555555555555,1.0077777777777779,1.0033333333333334,0.0,1.001111111111111,1.008888888888889,1.0066666666666666,1.0155555555555555,1.0183333333333333,1.0233333333333334
E01000887,1.0105967651979921,1.0078081427774679,1.003346346904629,1.0011154489682097,1.0011154489682097,1.0105967651979921,1.003904071388734,1.0295593976575572,1.015058561070831,1.0356943669827106
E01000888,1.010615711252654,1.0074309978768579,1.005307855626327,1.0015923566878981,0.0,1.0079617834394905,1.0042462845010616,1.0148619957537155,1.0153927813163481,1.0249469214437368
E01000889,1.009927797833935,1.0018050541516246,1.0072202166064983,1.0004512635379061,1.0013537906137184,1.003158844765343,0.0,1.0049638989169676,1.0090252707581226,1.0315884476534296
E01000890,1.0156424581005588,1.0156424581005588,1.0106145251396648,1.0022346368715085,1.000558659217877,1.012290502793296,1.0016759776536313,1.017877094972067,1.012290502793296,1.0547486033519553
E01000891,1.005084745762712,1.0180790960451978,1.0225988700564972,1.002824858757062,1.001129943502825,1.0129943502824859,1.0033898305084745,1.0203389830508474,1.0084745762711864,1.0598870056497176
E01000892,1.0062266500622665,1.0149439601494397,1.0091324200913243,1.0008302200083021,1.0004151100041512,1.0049813200498132,1.0024906600249066,1.0145288501452885,1.0261519302615194,1.0236612702366128
E01000893,1.001611170784103,1.0059076262083781,1.001611170784103,1.0005370569280343,1.0021482277121374,1.0080558539205156,1.0096670247046187,1.0171858216971,1.0198711063372718,1.0268528464017186
