,Unnamed: 0,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code,lat,lon
207,207,King Henrys Road,995000,Flat / Apartment,710,2,2,2,Primrose Hill,London,NW3 3QR,51.5423372,-0.1584533
208,208,ICON7,450000,New development,538,1,1,1, Holloway,London,N7 0JN,51.5527167,-0.1250736
209,209,Montgomery Road,850000,Flat / Apartment,935,2,2,2,Chiswick,London,W4 5LZ,51.4959151,-0.2687504
210,210,Carlton Mansions,975000,Flat / Apartment,950,2,2,2, Maida Vale,London,W9 1NP,51.5317637,-0.1886103
211,211,Palace Gardens Terrace,1850000,Flat / Apartment,924,3,3,3,,London,W8 4SA,51.5061073,-0.192669
212,212,Acer Road,940000,House,1074,3,3,3,Hackney,London,E8 3GX,51.5433957,-0.07049509999999999
213,213,Corkran Road,1595000,House,3261,5,5,5,Surbiton,Surrey,KT6 6PN,51.3866029,-0.3051869
214,214,Grosvenor Avenue,1275000,House,1779,4,4,4,,London,SW14 8BT,51.4661084,-0.2580872
215,215,Enmore Gardens,1325000,House,1541,4,4,4,,London,SW14 8RF,51.4592214,-0.262423
216,216,Oxhey Road,850000,House,1687,4,4,4,Oxhey,Hertfordshire,WD19 4QG,51.6411034,-0.3884407
217,217,Grandison Road,865000,Flat / Apartment,880,2,2,2,,London,SW11 6LN,51.4570723,-0.1604046
218,218,Lavender Sweep,650000,Flat / Apartment,859,2,2,2,,London,SW11 1EA,51.4617103,-0.1642779
219,219,Hollandgreen Place,3500000,New development,1577,2,2,2,,London,W8 6AX,51.4993904,-0.2003116
220,220,Horsell Road,1695000,House,1944,5,5,5,Highbury,London,N5 1XP,51.5505878,-0.1078666
221,221,Avon Court,399995,Flat / Apartment,472,1,1,1, Canary Wharf,London,E14 7SZ,51.5137996,-0.0271682
222,222,Castelnau,5750000,House,4682,6,6,6,Barnes,London,SW13 9EU,51.48176789999999,-0.2360317
223,223,Lower Belgrave Street,4650000,House,2865,4,4,4,Belgravia,London,SW1W 0LN,51.4968748,-0.1478971
224,224,Harper Lane,1650000,House,4016,8,8,8, Radlett,Hertfordshire,WD7 9HJ,51.6964029,-0.3014942
225,225,Donne Place,2800000,House,1448,3,3,3,,London,SW3 2NH,51.4940937,-0.1672133
226,226,Oakley Road,1100000,Flat / Apartment,1056,3,3,3,,London,N1 3LL,51.5430017,-0.0864911
227,227,Goldhurst House,2650000,Flat / Apartment,1811,3,3,3, Parr's Way,London,W6 9AN,51.48671390000001,-0.2264929
228,228,Telford Avenue,1575000,House,2550,5,5,5,,London,SW2 4XL,51.44236859999999,-0.129683
229,229,Mandeville Courtyard,525000,Flat / Apartment,775,1,1,1,142 Battersea Park Road,London,SW11 4NB,51.4743347,-0.1573203
230,230,Tufton Street,1650000,Flat / Apartment,1099,2,2,2,Westminster,London,SW1P 3AF,51.49559499999999,-0.1278948
231,231,Colosseum Terrace,850000,Flat / Apartment,726,2,2,2,Albany Street,London,NW1 4EB,51.5266321,-0.1445123
232,232,Rede Place,2700000,House,1791,3,3,3,Notting Hill,London,W2 4TU,51.5137726,-0.1940661
233,233,Tennyson Road,695000,House,795,2,2,2,Wimbledon,London,SW19 8SH,51.42391689999999,-0.1870379
234,234,Coleford Road,1400000,House,1799,4,4,4,London,Wandsworth,SW18 1AD,51.4588744,-0.1866178
235,235,St. Anns Terrace,2050000,House,1293,3,3,3,St John's Wood,London,NW8 6PJ,51.534522,-0.171645
236,236,Durward Street,615000,Flat / Apartment,972,2,2,2,Whitechapel,London,E1 5BA,51.51987219999999,-0.06075100000000001
